"ID","ID2","site","l","w","h","c","SAcm","SAm","Rl","Rw","Clength","Cwidth","Porites lobata","Porites rus","Porites irregularis","Montipora grisea","Montipora verrucosa","Montipora efflorescens","Montipora setosa","Montipora spp.","Pocillopora grandis","Pocillopora damicornis","Pocillopora spp.","Pavona chiriquiensis","Pavona varians","Pavona cactus","Pavona duerdeni","Astrea curta","Leptastrea pruinosa","Leptoseris mycetoseroides","Leptoseris hawaiiensis","Cyphastrea juv.","Acropora hyacinthus","Acropora retusa","Acropora globiceps","Acropora spp.","Psammocora profundacella","Psammocora stellata","Psammocora spp.","Astreopora randalli","Spirobranchus giganteus","Petalchoncus keenae","Tridacna maxima","Lissoclinum patella","Dictyoceratida spp.","Haliclona spp","Palythoa spp.","Trididemnum spp.","Ircinia spp.","Lissoclinum spp.","Palythoa tuberculosa","Verongiida dGP","Favosipora spp.","Hymedesmia spp.","Dysedia spp.","unknown sponge","Cliona spp."
109,24,"SP2",81,51,49,185,9153.726965,0.915372696,152,111,0.467105263,0.540540541,8,0,0,0,1,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
120,25,"SP2",34,28,32,78,2653.29691,0.265329691,68,79,0.5,0.64556962,4,0,0,1,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,49,"SP2",32,21,37,84,2554.833977,0.255483398,89,71,0.640449438,0.704225352,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
164,14,"SP2",50,32,45,217,4923.997763,0.492399776,168,112,0.702380952,0.714285714,15,0,0,5,0,0,0,0,0,0,11,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,38,"SP2",93,77,50,254,12699.15724,1.269915724,174,169,0.465517241,0.544378698,8,0,4,1,1,0,0,0,1,0,13,3,4,0,0,3,0,0,0,0,0,0,0,3,7,0,0,0,0,27,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0
161,2,"SP2",138,100,50,336,19811.03808,1.981103808,205,160,0.326829268,0.375,38,0,0,10,0,0,0,0,0,0,12,2,1,0,0,1,2,0,0,0,0,0,0,4,6,0,0,0,2,26,3,1,2,0,2,0,0,0,0,0,0,0,0,0,3
116,3,"SP2",90,62,49,240,10860.4836,1.08604836,162,131,0.444444444,0.526717557,15,2,0,5,0,0,0,0,0,0,10,3,0,0,0,1,0,0,0,0,0,0,0,1,8,0,0,0,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
153,16,"SP2",41,26,22,86,2139.884179,0.213988418,69,55,0.405797101,0.527272727,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,9,"SP2",143,100,82,387,28752.02829,2.875202829,291,143,0.508591065,0.300699301,0,36,0,12,0,2,0,0,0,0,10,4,1,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1
140,15,"SP2",97,87,59,255,15859.9495,1.58599495,191,126,0.492146597,0.30952381,5,0,0,3,5,3,0,0,0,0,15,5,0,0,0,1,4,0,0,0,0,0,0,2,5,0,0,0,0,13,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
137,11,"SP2",161,128,64,435,30258.7427,3.02587427,264,177,0.390151515,0.276836158,16,0,0,7,0,1,0,0,0,0,15,2,3,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,12,13,0,5,3,0,0,0,1,0,1,1,0,0,0,0,2
101,36,"SP2",117,85,39,317,13568.92789,1.356892789,215,142,0.455813953,0.401408451,2,0,0,0,0,0,0,3,0,0,17,26,0,0,0,1,0,0,0,0,0,1,0,5,3,0,0,0,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,17,"SP2",41,36,24,117,2719.222117,0.271922212,62,55,0.338709677,0.345454545,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
117,46,"SP2",63,61,28,203,5652.381374,0.565238137,100,98,0.37,0.37755102,0,12,0,1,0,0,0,1,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
139,27,"SP2",191,159,81,615,45678.35936,4.567835936,300,244,0.363333333,0.348360656,3,90,0,4,0,0,0,4,0,0,27,12,1,2,0,0,1,1,0,0,1,3,1,4,17,0,0,0,6,77,3,0,6,10,0,0,0,0,0,0,0,0,0,2,35
148,10,"SP2",124,107,93,333,29872.67936,2.987267936,184,184,0.326086957,0.418478261,13,0,0,13,0,3,0,0,0,0,11,9,7,0,0,3,5,0,0,0,0,0,1,4,12,0,0,0,1,21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
126,29,"SP2",65,34,47,161,6358.879757,0.635887976,88,55,0.261363636,0.381818182,1,0,0,8,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
121,5,"SP2",166,165,63,513,36372.83101,3.637283101,243,229,0.316872428,0.279475983,58,4,0,6,0,0,0,0,1,0,19,3,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816,19.1,"INV2",236,184,119,687,75421.73334,7.542173334,408,395,0.421568627,0.534177215,18,21,0,1,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,1,0,0,0,9,1,0,0,0,13,25,10,15,0,0,0,0,0,0,0,0,0,0,0,0,7
815,23.1,"INV2",80,61,41,203,8659.265043,0.865926504,129,102,0.379844961,0.401960784,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
836,15.1,"INV2",106,98,79,286,22573.24956,2.257324956,252,160,0.579365079,0.3875,2,0,0,2,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
803,13.1,"INV2",74,57,52,200,9503.499692,0.950349969,162,102,0.543209877,0.441176471,3,0,1,2,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,6,0,21,0,0,0,0,0,0,1,0,0,4,0,0,0
837,3.1,"INV2",373,325,110,1053,146214.9033,14.62149033,651,376,0.42703533,0.135638298,40,7,0,6,0,8,12,6,0,0,9,3,0,10,0,0,4,0,1,8,0,0,0,4,3,1,0,0,92,139,8,7,1,4,0,0,0,0,2,0,0,0,0,3,0
838,32.1,"INV2",229,140,82,611,49036.5658,4.90365658,369,204,0.379403794,0.31372549,12,8,0,4,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,11,19,0,14,2,0,0,0,0,0,0,0,0,0,0,0,10
824,10.1,"INV2",242,189,97,755,67963.64596,6.796364596,504,351,0.51984127,0.461538462,62,12,0,4,0,5,1,1,3,0,10,4,0,0,0,0,0,0,0,5,1,0,0,2,1,0,0,0,77,79,6,13,1,0,0,0,0,0,0,0,0,0,0,0,0
823,34.1,"INV2",87,69,57,245,12608.3008,1.26083008,168,100,0.482142857,0.31,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,21,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0
805,46.1,"INV2",116,91,78,335,22751.10962,2.275110962,205,217,0.434146341,0.580645161,42,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,20,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
814,2.1,"INV2",116,152,100,590,37842.87203,3.784287203,242,209,0.520661157,0.272727273,39,0,0,4,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,123,17,3,3,2,0,0,0,0,0,0,0,0,0,0,0,3
804,49.1,"INV2",34,29,24,95,2125.184179,0.212518418,54,54,0.37037037,0.462962963,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,44.1,"INV2",140,138,92,409,37078.14285,3.707814285,216,310,0.351851852,0.55483871,4,0,0,6,0,0,0,0,1,0,2,31,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,3,22,1,2,4,0,0,0,1,0,0,0,0,0,0,0,0
801,43.1,"INV2",390,192,85,895,93811.49311,9.381149311,600,306,0.35,0.37254902,112,1,0,5,0,0,0,0,0,0,4,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,33,34,10,14,0,0,0,0,0,0,0,0,0,0,0,0,32
826,31.1,"INV2",54,42,27,134,3919.570584,0.391957058,91,79,0.406593407,0.46835443,0,0,0,2,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813,37.1,"INV2",189,155,111,665,55689.68956,5.568968956,383,341,0.506527415,0.545454545,92,2,0,2,0,0,1,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,5,25,0,0,0,0,0,0,0,0,0,0,0,0,2
834,45.1,"INV2",81,70,54,220,11612.84936,1.161284936,169,139,0.520710059,0.496402878,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
812,21.1,"INV2",219,160,114,550,64113.98443,6.411398443,342,308,0.359649123,0.480519481,33,1,0,1,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,1,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835,18.1,"INV2",108,95,77,323,21987.27928,2.198727928,190,189,0.431578947,0.497354497,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,42,2,8,0,0,0,0,0,0,0,0,0,0,1,0,0
802,7.1,"INV2",70,49,43,200,7275.786361,0.727578636,109,100,0.357798165,0.51,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,5,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
810,11.1,"INV2",220,145,92,560,52332.01968,5.233201968,370,259,0.405405405,0.44015444,13,1,0,15,1,0,3,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,22,36,6,24,0,0,0,0,0,0,0,0,0,0,0,0,1
811,47.1,"INV2",124,105,44,346,17471.72006,1.747172006,184,167,0.326086957,0.371257485,5,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
820,39.1,"INV2",440,259,112,1114,144643.7968,14.46437968,696,440,0.367816092,0.411363636,4,127,23,1,0,5,2,0,1,0,13,30,32,11,0,1,4,0,5,1,0,0,0,4,3,0,0,2,0,2,8,2,2,0,0,0,0,0,0,0,0,0,0,0,25
828,41.1,"INV2",35,34,40,96,3633.837259,0.363383726,84,77,0.583333333,0.558441558,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,1,0
817,38.1,"INV2",97,94,57,303,16208.35496,1.620835496,186,145,0.478494624,0.351724138,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
822,26.1,"INV2",142,51,42,307,12874.27656,1.287427656,266,141,0.466165414,0.638297872,0,4,0,4,0,0,0,0,0,0,3,4,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,24,1,15,2,0,0,0,0,0,0,0,0,0,1,0,0
821,24.1,"INV2",290,243,105,906,95998.7005,9.59987005,481,371,0.397089397,0.345013477,6,0,0,5,0,0,19,0,0,0,9,21,4,0,0,2,1,0,0,1,1,0,0,2,13,1,0,0,0,3,2,33,6,7,7,0,0,0,0,0,0,0,0,0,2
833,35.1,"INV2",153,109,51,392,22918.37712,2.291837712,280,220,0.453571429,0.504545455,8,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0
832,28.1,"INV2",71,29,43,171,5999.903748,0.599990375,140,88,0.492857143,0.670454545,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
831,29.1,"INV2",151,73,51,400,18179.26355,1.817926355,243,155,0.378600823,0.529032258,4,0,0,1,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,2,44,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0
818,42.1,"INV2",81,61,25,196,6375.646748,0.637564675,86,114,0.058139535,0.464912281,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819,22.1,"INV2",195,169,96,602,53918.09652,5.391809652,311,310,0.372990354,0.45483871,1,373,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,17,2,110,1,0,0,0,0,0,0,0,0,0,0,0,0
850,5.1,"INV2",74,65,53,210,10351.89893,1.035189893,131,132,0.435114504,0.507575758,1,0,0,0,0,7,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
851,55.1,"INV2",113,83,69,325,19332.33471,1.933233471,240,208,0.529166667,0.600961538,0,0,0,4,0,3,24,0,0,0,8,7,0,0,0,0,0,0,0,1,0,1,0,1,5,0,0,0,0,19,2,10,3,0,0,0,0,0,0,0,0,0,0,0,0
852,40.1,"INV2",67,60,44,180,8014.453276,0.801445328,121,124,0.446280992,0.516129032,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
853,54.1,"INV2",139,89,84,366,27140.54082,2.714054082,242,182,0.425619835,0.510989011,9,0,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0
854,58.1,"INV2",320,157,82,825,68939.00183,6.893900183,451,287,0.290465632,0.452961672,11,65,1,2,0,6,3,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,97,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0
855,56.1,"INV2",70,36,20,160,3613.7081,0.36137081,100,56,0.3,0.357142857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,0,0,0,0,0,0,0,0,0,1,0,0
856,60.1,"INV2",287,240,108,805,96052.7466,9.60527466,355,460,0.191549296,0.47826087,6,52,0,0,0,5,0,0,0,0,16,5,1,0,0,2,1,2,0,0,1,4,0,1,3,0,0,0,1,21,2,1,0,0,0,0,0,0,2,0,0,0,4,0,0
857,53.1,"INV2",125,110,75,350,25778.66204,2.577866204,189,220,0.338624339,0.5,4,26,0,1,0,7,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,44,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0
